mestid;mestname;objid;objname
695;Историческое;1267381797;ВТ59-55/7
771;Хвойное;1976445698;ЯТ5
230;Сырое;840020939;Епт-альб-сеноманский ГЛ
762;Верхне-Дорожное;840020939;Епт-альб-сеноманский ГЛ
762;Верхне-Дорожное;1241346267;PYat
-7;нет значения;1619909680;PYnm
762;Верхне-Дорожное;38199342;ЕТ75
762;Верхне-Дорожное;1976445698;ЯТ5
762;Верхне-Дорожное;1619909680;PYnm
238;Близлежащее;507158468;ЕТ77
228;Ближне-Нескончаемое;38199342;ЕТ75
238;Близлежащее;840020939;Епт-альб-сеноманский ГЛ
228;Ближне-Нескончаемое;840020939;Епт-альб-сеноманский ГЛ
291;Светлое;11626301;ЕТX
291;Светлое;1067878520;ЕТ79
291;Светлое;840020939;Епт-альб-сеноманский ГЛ
291;Светлое;779189791;ЕТX-79
291;Светлое;2130260247;ЯТ9
290;Веселое;779189791;ЕТX-79
290;Веселое;2112960395;ВТ7
290;Веселое;840020939;Епт-альб-сеноманский ГЛ
237;Смешанное;840020939;Епт-альб-сеноманский ГЛ
237;Смешанное;1146166972;ЕкY
237;Смешанное;11626301;ЕТX
237;Смешанное;442824795;ЕТX/7
290;Веселое;206669828;Ек5-L
237;Смешанное;987611499;РЛ7
237;Смешанное;902447555;ВТX/7
-9553;Площадь Ближне-Имилорская;1995890026;ВТX/5
237;Смешанное;1511456626;Ек5
290;Веселое;1976445698;ЯТ5
85;Продольно-Огромное;631462443;ВТX/5+ВТX/Y
85;Продольно-Огромное;840020939;Епт-альб-сеноманский ГЛ
-9509;Площадь Верхне-Семиеганская;1542093347;ЕШ7
237;Смешанное;2112960395;ВТ7
831;Дальне-Огромное;902447555;ВТX/7
833;Огромное;1995890026;ВТX/5
830;Поперечно-Огромное;1112871066;ВТ7X-59
832;Продольно-Заросшее;710392606;ВТ79/Y(7)
-9635;Площадь Средне-Оморская;1995890026;ВТX/5
835;Многоперевальное;2114229834;ВТ78
835;Многоперевальное;1067878520;ЕТ79
692;Рослое;74584294;ЕШY
692;Рослое;1009129873;ЯТ7
15;Дальне-Веселое;2063623641;Я5
835;Многоперевальное;11626301;ЕТX
292;Прибрежное;840020939;Епт-альб-сеноманский ГЛ
578;Сухое;840020939;Епт-альб-сеноманский ГЛ
578;Сухое;779189791;ЕТX-79
278;Дальне-Сухое;1067878520;ЕТ79
292;Прибрежное;11626301;ЕТX
292;Прибрежное;1067878520;ЕТ79
577;Многовековое;1657028658;ЕТ79/5
278;Дальне-Сухое;1995762960;ЯТ9/Л
577;Многовековое;840020939;Епт-альб-сеноманский ГЛ
278;Дальне-Сухое;840020939;Епт-альб-сеноманский ГЛ
292;Прибрежное;821149810;Ек7
292;Прибрежное;1596302916;Ек5+Y
276;Сумеречное;2130260247;ЯТ9
217;Поперечно-Зимнее;840020939;Епт-альб-сеноманский ГЛ
217;Поперечно-Зимнее;1584868119;ЕТ79/7+ЕТ77
217;Поперечно-Зимнее;2036498630;ЯТ5/7
217;Поперечно-Зимнее;1791614711;ЯТ5/5
-9947;Площадь Верхнеляминская;507158468;ЕТ77
803;Поперечно-Сказочное;1220645213;ЯТ9-7
87;Заболоченное;1099243802;ЕТ79/7
87;Заболоченное;1657028658;ЕТ79/5
822;Сумрачное;1657028658;ЕТ79/5
822;Сумрачное;1976445698;ЯТ5
87;Заболоченное;840020939;Епт-альб-сеноманский ГЛ
822;Сумрачное;840020939;Епт-альб-сеноманский ГЛ
822;Сумрачное;175661706;ЕТ79/5-9
-10067;Площадь Хадыяхинская;2072429805;ТР
181;Таёжное;2036498630;ЯТ5/7
-10001;Площадь Мувенлорская;1118129914;ЯТ5-Y
181;Таёжное;2130260247;ЯТ9
181;Таёжное;1067878520;ЕТ79
181;Таёжное;840020939;Епт-альб-сеноманский ГЛ
-9544;Площадь Лоркортъюганская;1129072582;ЕТ79/Y
-9638;Площадь Поперечно-Вонхорская;1976445698;ЯТ5
86;Окрестное;1657028658;ЕТ79/5
84;Диковинное;2036498630;ЯТ5/7
84;Диковинное;1067878520;ЕТ79
86;Окрестное;22910479;ЕТ77/97-95
86;Окрестное;2036498630;ЯТ5/7
86;Окрестное;386117759;ЯТ9/Л+ЯТ9/Л7
205;Ближне-Окрестное;1657028658;ЕТ79/5
-9829;Площадь Ближне-Ватлорская;1976445698;ЯТ5
86;Окрестное;840020939;Епт-альб-сеноманский ГЛ
-9829;Площадь Ближне-Ватлорская;1657028658;ЕТ79/5
84;Диковинное;840020939;Епт-альб-сеноманский ГЛ
272;Продольно-Окрестное;1976445698;ЯТ5
272;Продольно-Окрестное;1657028658;ЕТ79/5
272;Продольно-Окрестное;840020939;Епт-альб-сеноманский ГЛ
805;Древнее;2036498630;ЯТ5/7
774;Ближне-Древнее;1976445698;ЯТ5
191;Июньское;1099243802;ЕТ79/7
-9736;Площадь Продольно-Ватлорская-2;2130260247;ЯТ9
769;Дремучее;1375467574;ЕТ77+ЕТ75
769;Дремучее;2130260247;ЯТ9
769;Дремучее;969091483;ЕШ5-4
769;Дремучее;840020939;Епт-альб-сеноманский ГЛ
208;Дальне-Сказочное;1232365633;PYat+PYnm
769;Дремучее;1976445698;ЯТ5
208;Дальне-Сказочное;840020939;Епт-альб-сеноманский ГЛ
786;Заповедное;1086736139;ВТ7+ВТ5
786;Заповедное;11626301;ЕТX
786;Заповедное;1976445698;ЯТ5
786;Заповедное;840020939;Епт-альб-сеноманский ГЛ
786;Заповедное;894880963;ЕТU+ЕТ8
786;Заповедное;1468163420;ВТ76-7U+ВТ78-59
210;Старорусское;1169999627;ЕТU
210;Старорусское;1976445698;ЯТ5
786;Заповедное;1232365633;PYat+PYnm
786;Заповедное;1241346267;PYat
210;Старорусское;840020939;Епт-альб-сеноманский ГЛ
757;Грибное;940268378;ЕТ8
757;Грибное;2112960395;ВТ7
757;Грибное;732397477;ЯТ5-4
757;Грибное;840020939;Епт-альб-сеноманский ГЛ
757;Грибное;1714717507;ЕкL
554;Ближне-Грибное;381352190;ЕТ8-X
554;Ближне-Грибное;1976445698;ЯТ5
554;Ближне-Грибное;840020939;Епт-альб-сеноманский ГЛ
734;Осеннее;1353630220;ЕТ8-79
734;Осеннее;1992925456;Ек5-Y
734;Осеннее;1976445698;ЯТ5
554;Ближне-Грибное;1241346267;PYat
557;Мховое;1009129873;ЯТ7
557;Мховое;1976445698;ЯТ5
734;Осеннее;840020939;Епт-альб-сеноманский ГЛ
557;Мховое;840020939;Епт-альб-сеноманский ГЛ
554;Ближне-Грибное;1009129873;ЯТ7
554;Ближне-Грибное;2036498630;ЯТ5/7
773;Кедровое;381352190;ЕТ8-X
773;Кедровое;1169999627;ЕТU
773;Кедровое;1976445698;ЯТ5
773;Кедровое;1448751686;ЕТ4
773;Кедровое;840020939;Епт-альб-сеноманский ГЛ
459;Поперечно-Тяжёлое;1009129873;ЯТ7
459;Поперечно-Тяжёлое;1976445698;ЯТ5
459;Поперечно-Тяжёлое;1511456626;Ек5
459;Поперечно-Тяжёлое;840020939;Епт-альб-сеноманский ГЛ
261;Тонкоствольное;705000769;ЯЛ5-L
261;Тонкоствольное;1869510692;ЯЛ9
261;Тонкоствольное;852058180;ЯЛ7
261;Тонкоствольное;992043061;ГЛ7
261;Тонкоствольное;2047341634;ГЛ5
261;Тонкоствольное;2072429805;ТР
-10071;Площадь Поперечно-Высотная II;931274898;ЯЛ5-Y
261;Тонкоствольное;464579754;Теноман
261;Тонкоствольное;840020939;Епт-альб-сеноманский ГЛ
890;Дальне-Тонкоствольное;2072429805;ТР
261;Тонкоствольное;931274898;ЯЛ5-Y
261;Тонкоствольное;2091344421;ЯЛ4
261;Тонкоствольное;1071985564;ЯЛL
891;Низенькое;2072429805;ТР
891;Низенькое;705000769;ЯЛ5-L
891;Низенькое;852058180;ЯЛ7
891;Низенькое;1869510692;ЯЛ9
891;Низенькое;992043061;ГЛ7
891;Низенькое;464579754;Теноман
891;Низенькое;840020939;Епт-альб-сеноманский ГЛ
-10020;Площадь Продольно-Рогожниковская;2091344421;ЯЛ4
834;Бескрайнее;2072429805;ТР
834;Бескрайнее;1922804898;Я4
1;Улыбчивое;2072429805;ТР
1;Улыбчивое;992043061;ГЛ7
1;Улыбчивое;1869510692;ЯЛ9
1;Улыбчивое;705000769;ЯЛ5-L
1;Улыбчивое;2047341634;ГЛ5
807;Ближне-Первозданное;2072429805;ТР
807;Ближне-Первозданное;931274898;ЯЛ5-Y
806;Поперечно-Первозданное;1191005717;PX
1;Улыбчивое;840020939;Епт-альб-сеноманский ГЛ
1;Улыбчивое;852058180;ЯЛ7
890;Дальне-Тонкоствольное;705000769;ЯЛ5-L
890;Дальне-Тонкоствольное;840020939;Епт-альб-сеноманский ГЛ
6;Дальне-Первозданное;705000769;ЯЛ5-L
808;Нетронутое;705000769;ЯЛ5-L
808;Нетронутое;1191005717;PX
261;Тонкоствольное;1191005717;PX
261;Тонкоствольное;2051834086;ЯЛ6
261;Тонкоствольное;1582911845;ЛГ
808;Нетронутое;464579754;Теноман
808;Нетронутое;840020939;Епт-альб-сеноманский ГЛ
808;Нетронутое;992043061;ГЛ7
808;Нетронутое;107081040;ЯЛU
808;Нетронутое;1071985564;ЯЛL
808;Нетронутое;1869510692;ЯЛ9
808;Нетронутое;852058180;ЯЛ7
702;Густое;1191005717;PX
702;Густое;992043061;ГЛ7
702;Густое;1582911845;ЛГ
702;Густое;2091344421;ЯЛ4
702;Густое;1071985564;ЯЛL
702;Густое;931274898;ЯЛ5-Y
702;Густое;1869510692;ЯЛ9
702;Густое;852058180;ЯЛ7
702;Густое;2051834086;ЯЛ6
679;Бытное;1869510692;ЯЛ9
679;Бытное;852058180;ЯЛ7
679;Бытное;2091344421;ЯЛ4
679;Бытное;1071985564;ЯЛL
679;Бытное;1191005717;PX
679;Бытное;931274898;ЯЛ5-Y
679;Бытное;2072429805;ТР
804;Продольно-Первозданное;931274898;ЯЛ5-Y
804;Продольно-Первозданное;1869510692;ЯЛ9
804;Продольно-Первозданное;852058180;ЯЛ7
702;Густое;705000769;ЯЛ5-L
702;Густое;840020939;Епт-альб-сеноманский ГЛ
687;Трудолюбивое;5496823;У-7
782;Недалёкое;1333505781;Я-III
782;Недалёкое;1510761359;Г74
782;Недалёкое;1140642168;В74
-9590;Площадь Хонгорская;5496823;У-7
-9590;Площадь Хонгорская;253120687;Г79
-9592;Площадь Западная;5496823;У-7
-9593;Площадь Суолахская;1350500476;РР
-9580;Площадь Люринская;5496823;У-7
844;Большое;253120687;Г79
844;Большое;5496823;У-7
-9617;Площадь Багдынская;5496823;У-7
-9625;Площадь Дальне-Кергелехская;5496823;У-7
-9601;Площадь Дальне-Хотурская;5496823;У-7
-9601;Площадь Дальне-Хотурская;586700808;ЛРТ
-9636;Площадь Дьогуская;5496823;У-7
-9591;Площадь Тымпычанская;5496823;У-7
-9599;Площадь Чуоналырская;324654240;Г75
687;Трудолюбивое;253120687;Г79
687;Трудолюбивое;1554412927;ГL
687;Трудолюбивое;1913701159;Нижне-среднекембрийский ГЛ
-10029;Площадь Поперечно-Илинская 2;1554412927;ГL
-10051;Площадь Джункунская 3;324654240;Г75
842;Поперечно-Далекое;253120687;Г79
842;Поперечно-Далекое;1913701159;Нижне-среднекембрийский ГЛ
842;Поперечно-Далекое;1554412927;ГL
160;Красивое;5496823;У-7
-9690;Площадь Продольно-Чаяндинская 2;253120687;Г79
-9527;Площадь Верхнепеледуйская;5496823;У-7
-9532;Площадь Поперечно-Талаканская;5496823;У-7
-9731;Площадь Куландинская;5496823;У-7
-9534;Площадь Таранская;5496823;У-7
-9530;Площадь Олдонская;5496823;У-7
-9533;Площадь Сангаюряхская;5496823;У-7
-9531;Площадь Пеледуйская;5496823;У-7
-9734;Площадь Продольно-Талаканская;5496823;У-7
-9732;Площадь Карстовая;5496823;У-7
-9735;Площадь Нижне-Карамская;5496823;У-7
-9570;Площадь Делиндинская;5496823;У-7
842;Поперечно-Далекое;1604161265;У-7 (р-он скв.LY9-5Р)
842;Поперечно-Далекое;1406605209;У-7 (р-он скв.LY9-4YР)
-9573;Площадь Курумская;5496823;У-7
-9575;Площадь Хотойская;5496823;У-7
-9575;Площадь Хотойская;253120687;Г79
851;Заснеженное;5496823;У-7
851;Заснеженное;1513024419;В75
-9576;Площадь Курум-Салинская-1;5496823;У-7
-9571;Площадь Рассохинская;5496823;У-7
160;Красивое;1913701159;Нижне-среднекембрийский ГЛ
-9569;Площадь Ближне-Гадалинская;5496823;У-7
-9733;Площадь Ближне-Карстовая;5496823;У-7
-9577;Площадь Курум-Салинская-2;5496823;У-7
-9572;Площадь Усольская;5496823;У-7
-9580;Площадь Люринская;980736514;ТЛ
-9581;Площадь Нижнечаяндинская;980736514;ТЛ
788;Вечернее;253120687;Г79
-9585;Площадь Курчахская-1;253120687;Г79
-9586;Площадь Курчахская-2;253120687;Г79
-9528;Площадь Иллегинская;5496823;У-7
-9529;Площадь Гадалинская;5496823;У-7
-9574;Площадь Кудулахская;5496823;У-7
-9672;Площадь Южная ;5496823;У-7
160;Красивое;1800480302;Г7Y
160;Красивое;253120687;Г79
161;Строевое;5496823;У-7
-10022;Площадь Дальне-Талаканская;5496823;У-7
644;Продольно-Далекое;5496823;У-7
644;Продольно-Далекое;253120687;Г79
644;Продольно-Далекое;1333505781;Я-III
644;Продольно-Далекое;1913701159;Нижне-среднекембрийский ГЛ
-9531;Площадь Пеледуйская;253120687;Г79
-9526;Площадь Дальне-Алинская;5496823;У-7
2;Лиственное;253120687;Г79
841;Дальне-Лиственное;5496823;У-7
841;Дальне-Лиственное;253120687;Г79
2;Лиственное;1913701159;Нижне-среднекембрийский ГЛ
-9594;Площадь Белорассохинская;5496823;У-7
-9596;Площадь Тирская;5496823;У-7
-9598;Площадь Нижненепская;5496823;У-7
-9595;Площадь Алгинская;5496823;У-7
-9628;Площадь Кутамская;253120687;Г79
-9637;Площадь Поперечно-Тирская;253120687;Г79
841;Дальне-Лиственное;1913701159;Нижне-среднекембрийский ГЛ
-9640;Площадь Ершовская;5496823;У-7
-9644;Площадь Ближне-Буриндинская;253120687;Г79
-9549;Площадь Пилюдинская;5496823;У-7
